CROHME,CROHME,CROHME,CROHME,CROPME,CROPME,CROPME,CROPME
width,height,aspect ratio,title,width,height,aspect ratio,title
412,97,4.247422680412371,101_Fabricio.png,300,64,4.6875,101_Fabricio.png
577,125,4.616,101_Frank.png,300,64,4.6875,101_Frank.png
411,113,3.6371681415929205,101_Nina.png,300,64,4.6875,101_Nina.png
409,109,3.7522935779816513,101_alfonso.png,300,64,4.6875,101_alfonso.png
440,93,4.731182795698925,101_carlos.png,300,64,4.6875,101_carlos.png
384,114,3.3684210526315788,101_caue.png,300,64,4.6875,101_caue.png
570,114,5.0,101_danilo.png,300,64,4.6875,101_danilo.png
336,99,3.393939393939394,101_david.png,300,64,4.6875,101_david.png
488,106,4.60377358490566,101_edwin.png,300,64,4.6875,101_edwin.png
350,109,3.2110091743119265,101_fujita.png,300,64,4.6875,101_fujita.png
490,114,4.298245614035087,101_herbert.png,300,64,4.6875,101_herbert.png
493,115,4.28695652173913,101_hirata.png,300,64,4.6875,101_hirata.png
369,109,3.385321100917431,101_jorge.png,300,64,4.6875,101_jorge.png
456,112,4.071428571428571,101_leissi.png,300,64,4.6875,101_leissi.png
324,109,2.9724770642201834,101_leo.png,300,64,4.6875,101_leo.png
542,109,4.972477064220183,101_miguel.png,300,64,4.6875,101_miguel.png
438,107,4.093457943925234,101_mijail.png,300,64,4.6875,101_mijail.png
344,99,3.474747474747475,101_rosario.png,300,64,4.6875,101_rosario.png
374,97,3.8556701030927836,101_user0.png,300,64,4.6875,101_user0.png
980,184,5.326086956521739,105_Fabricio.png,331,39,8.487179487179487,105_Fabricio.png
1042,185,5.632432432432433,105_Frank.png,331,39,8.487179487179487,105_Frank.png
775,161,4.813664596273292,105_Nina.png,331,39,8.487179487179487,105_Nina.png
1029,216,4.763888888888889,105_alfonso.png,331,39,8.487179487179487,105_alfonso.png
936,165,5.672727272727273,105_carlos.png,331,39,8.487179487179487,105_carlos.png
1121,162,6.919753086419753,105_caue.png,331,39,8.487179487179487,105_caue.png
1158,222,5.216216216216216,105_danilo.png,331,39,8.487179487179487,105_danilo.png
803,166,4.837349397590361,105_david.png,331,39,8.487179487179487,105_david.png
1050,187,5.614973262032086,105_edwin.png,331,39,8.487179487179487,105_edwin.png
1085,211,5.14218009478673,105_fujita.png,331,39,8.487179487179487,105_fujita.png
884,171,5.169590643274854,105_herbert.png,331,39,8.487179487179487,105_herbert.png
925,196,4.719387755102041,105_hirata.png,331,39,8.487179487179487,105_hirata.png
921,202,4.5594059405940595,105_leissi.png,331,39,8.487179487179487,105_leissi.png
990,192,5.15625,105_leo.png,331,39,8.487179487179487,105_leo.png
893,183,4.879781420765028,105_lucelia.png,331,39,8.487179487179487,105_lucelia.png
1102,169,6.520710059171598,105_miguel.png,331,39,8.487179487179487,105_miguel.png
991,171,5.795321637426901,105_mijail.png,331,39,8.487179487179487,105_mijail.png
949,169,5.615384615384615,105_rosario.png,331,39,8.487179487179487,105_rosario.png
815,179,4.553072625698324,105_user0.png,331,39,8.487179487179487,105_user0.png
313,93,3.3655913978494625,106_Fabricio.png,175,31,5.645161290322581,106_Fabricio.png
343,89,3.853932584269663,106_Frank.png,175,31,5.645161290322581,106_Frank.png
281,107,2.6261682242990654,106_Nina.png,175,31,5.645161290322581,106_Nina.png
262,89,2.943820224719101,106_alfonso.png,175,31,5.645161290322581,106_alfonso.png
313,84,3.7261904761904763,106_carlos.png,175,31,5.645161290322581,106_carlos.png
293,96,3.0520833333333335,106_caue.png,175,31,5.645161290322581,106_caue.png
276,91,3.032967032967033,106_daniel.png,175,31,5.645161290322581,106_daniel.png
292,92,3.1739130434782608,106_david.png,175,31,5.645161290322581,106_david.png
288,76,3.789473684210526,106_edwin.png,175,31,5.645161290322581,106_edwin.png
308,98,3.142857142857143,106_fabio.png,175,31,5.645161290322581,106_fabio.png
